20 9
#R(AU)	phi(rad)	I	Q	U	V
10 0 1.46198 0.0188165 -2.38942e-15 0
10 0.392699 1.46346 0.0184272 0.00157522 0
10 0.785398 1.46696 0.0174002 0.00273774 0
10 1.1781 1.47259 0.0160669 0.00320986 0
10 1.5708 1.47878 0.014865 0.00295785 0
10 1.9635 1.48327 0.0140633 0.00220826 0
10 2.35619 1.4855 0.013744 0.00129876 0
10 2.74889 1.48854 0.0137543 0.000578029 0
10 3.14159 1.48918 0.0137848 -2.57291e-15 0
11.2824 0 1.41472 0.0194875 -2.30169e-15 0
11.2824 0.392699 1.41591 0.0190721 0.0016156 0
11.2824 0.785398 1.42095 0.0180103 0.00275847 0
11.2824 1.1781 1.42664 0.0166441 0.00317137 0
11.2824 1.5708 1.43212 0.0154772 0.00282016 0
11.2824 1.9635 1.43628 0.014802 0.00201225 0
11.2824 2.35619 1.43919 0.0146619 0.00113562 0
11.2824 2.74889 1.4399 0.0147651 0.000460829 0
11.2824 3.14159 1.44007 0.0148496 -2.48137e-15 0
12.7293 0 1.36017 0.0200047 -2.20098e-15 0
12.7293 0.392699 1.36136 0.0195746 0.00165272 0
12.7293 0.785398 1.36594 0.0184551 0.00280177 0
12.7293 1.1781 1.37155 0.0170566 0.00313387 0
12.7293 1.5708 1.37703 0.0159039 0.00266345 0
12.7293 1.9635 1.38137 0.0153627 0.0017592 0
12.7293 2.35619 1.38397 0.0154015 0.00087669 0
12.7293 2.74889 1.38526 0.0157201 0.000287241 0
12.7293 3.14159 1.3855 0.0158605 -2.39721e-15 0
14.3617 0 1.29846 0.0203168 -2.08959e-15 0
14.3617 0.392699 1.29979 0.0198579 0.00169953 0
14.3617 0.785398 1.30338 0.0186794 0.00284942 0
14.3617 1.1781 1.30954 0.0172353 0.00311447 0
14.3617 1.5708 1.31455 0.016104 0.00252981 0
14.3617 1.9635 1.31866 0.0156958 0.00149767 0
14.3617 2.35619 1.32069 0.0159154 0.00059163 0
14.3617 2.74889 1.32144 0.0163988 0.000105749 0
14.3617 3.14159 1.32166 0.0166095 -2.28677e-15 0
16.2034 0 1.22947 0.0203367 -1.96292e-15 0
16.2034 0.392699 1.23097 0.0198621 0.0017359 0
16.2034 0.785398 1.23466 0.0186313 0.0028873 0
16.2034 1.1781 1.24081 0.0171553 0.00308798 0
16.2034 1.5708 1.24585 0.0160599 0.00237831 0
16.2034 1.9635 1.24901 0.015756 0.0012436 0
16.2034 2.35619 1.25075 0.0161691 0.000311089 0
16.2034 2.74889 1.25093 0.0168068 -7.32194e-05 0
16.2034 3.14159 1.251 0.017086 -2.1579e-15 0
18.2814 0 1.15573 0.0200555 -1.83322e-15 0
18.2814 0.392699 1.15708 0.0195675 0.00176134 0
18.2814 0.785398 1.16143 0.0183009 0.00289602 0
18.2814 1.1781 1.16644 0.0167954 0.00304427 0
18.2814 1.5708 1.17152 0.0157243 0.00224116 0
