20 9
#R(AU)	phi(rad)	I	Q	U	V
10 0 0.919509 -0.000882034 0 0
10 0.392699 0.919297 -0.000558784 -0.00102025 -3.79545e-06
10 0.785398 0.919685 0.000705423 -0.00185648 1.32768e-05
10 1.1781 0.918755 0.00258593 -0.00158124 3.89532e-05
10 1.5708 0.918369 0.00350614 5.0032e-05 7.92236e-06
10 1.9635 0.918103 0.00251859 0.0016445 -2.52856e-05
10 2.35619 0.918105 0.000645516 0.00186868 -6.55908e-06
10 2.74889 0.918132 -0.000581456 0.00100976 5.20471e-06
10 3.14159 0.918371 -0.000892536 2.32127e-16 1.71586e-18
11.2824 0 0.896782 -0.00107245 0 0
11.2824 0.392699 0.896556 -0.0006796 -0.00123808 -4.04624e-06
11.2824 0.785398 0.896572 0.000855954 -0.00226175 1.42242e-05
11.2824 1.1781 0.896593 0.00312027 -0.00190542 4.17321e-05
11.2824 1.5708 0.896421 0.0042171 5.80413e-05 8.80367e-06
11.2824 1.9635 0.896438 0.00303234 0.00196712 -2.66715e-05
11.2824 2.35619 0.8962 0.00078186 0.0022492 -6.98097e-06
11.2824 2.74889 0.895839 -0.00069965 0.00122096 5.58184e-06
11.2824 3.14159 0.895393 -0.00108324 2.82295e-16 1.84362e-18
12.7293 0 0.869665 -0.00125732 0 0
12.7293 0.392699 0.870143 -0.000793406 -0.00144493 -4.14779e-06
12.7293 0.785398 0.86951 0.000996744 -0.0026465 1.46561e-05
12.7293 1.1781 0.869308 0.00365047 -0.00223693 4.31743e-05
12.7293 1.5708 0.869047 0.00494179 5.72587e-05 9.53151e-06
12.7293 1.9635 0.869525 0.00355337 0.00229333 -2.7238e-05
12.7293 2.35619 0.869844 0.000921068 0.00262353 -7.20584e-06
12.7293 2.74889 0.869585 -0.000814059 0.00142348 5.76499e-06
12.7293 3.14159 0.869904 -0.00125593 3.27549e-16 1.9015e-18
14.3617 0 0.838896 -0.00142428 0 0
14.3617 0.392699 0.838667 -0.000904003 -0.00163853 -4.13497e-06
14.3617 0.785398 0.83864 0.0011246 -0.00299514 1.46546e-05
14.3617 1.1781 0.83841 0.00412359 -0.00253562 4.32287e-05
14.3617 1.5708 0.838483 0.00558021 5.42211e-05 1.00386e-05
14.3617 1.9635 0.838505 0.00403368 0.0025905 -2.69101e-05
14.3617 2.35619 0.838974 0.00105177 0.00297332 -7.17067e-06
14.3617 2.74889 0.839023 -0.000918836 0.00161389 5.78297e-06
14.3617 3.14159 0.839236 -0.00142268 3.71611e-16 1.90752e-18
16.2034 0 0.804429 -0.00156987 0 0
16.2034 0.392699 0.804757 -0.000995081 -0.00180146 -3.99332e-06
16.2034 0.785398 0.804017 0.00123043 -0.00329679 1.41865e-05
16.2034 1.1781 0.803589 0.00453062 -0.00279986 4.20411e-05
16.2034 1.5708 0.803467 0.00615016 4.47778e-05 1.02114e-05
16.2034 1.9635 0.803639 0.00445639 0.00284485 -2.58443e-05
16.2034 2.35619 0.804044 0.0011716 0.00328099 -6.96305e-06
16.2034 2.74889 0.804235 -0.0010106 0.00178311 5.63644e-06
16.2034 3.14159 0.804503 -0.00156918 4.1072e-16 1.86062e-18
18.2814 0 0.766295 -0.00168817 0 0
18.2814 0.392699 0.765902 -0.00107463 -0.00193539 -3.76329e-06
18.2814 0.785398 0.765725 0.00131346 -0.00353959 1.33873e-05
18.2814 1.1781 0.765165 0.00485326 -0.00301419 3.98008e-05
18.2814 1.5708 0.765407 0.00659724 3.09331e-05 1.01583e-05
18.2814 1.9635 0.765267 0.00480152 0.00304564 -2.41635e-05
18.2814 2.35619 0.765879 0.00127169 0.00352806 -6.58102e-06
18.2814 2.74889 0.766171 -0.0010837 0.00192062 5.35215e-06
18.2814 3.14159 0.766429 -0.0016877 4.42335e-16 1.76647e-18
20.6258 0 0.72518 -0.00177462 0 0
20.6258 0.392699 0.724773 -0.00113218 -0.00202904 -3.46272e-06
20.6258 0.785398 0.7246 0.00136701 -0.00371317 1.22916e-05
20.6258 1.1781 0.724491 0.00507687 -0.00316684 3.68221e-05
20.6258 1.5708 0.72449 0.00692065 1.37965e-05 9.82559e-06
20.6258 1.9635 0.72451 0.00505444 0.00318099 -2.20171e-05
20.6258 2.35619 0.724766 0.00134839 0.00370767 -6.07091e-06
20.6258 2.74889 0.725035 -0.001136 0.00202223 4.95864e-06
20.6258 3.14159 0.72538 -0.00177405 4.65896e-16 1.63741e-18
23.2709 0 0.681768 -0.00182504 0 0
23.2709 0.392699 0.681964 -0.00116447 -0.00208273 -3.11393e-06
23.2709 0.785398 0.681536 0.00139919 -0.00381055 1.11249e-05
23.2709 1.1781 0.681089 0.00520125 -0.00325422 3.3294e-05
23.2709 1.5708 0.680819 0.00710179 1.48569e-07 9.18583e-06
23.2709 1.9635 0.681096 0.00520061 0.00325455 -1.96474e-05
23.2709 2.35619 0.681529 0.00139833 0.00381023 -5.47771e-06
23.2709 2.74889 0.681456 -0.00116628 0.00208165 4.49224e-06
23.2709 3.14159 0.681842 -0.00182494 4.79501e-16 1.48234e-18
26.2552 0 0.636261 -0.00183616 0 0
26.2552 0.392699 0.63594 -0.00117235 -0.00209344 -2.7425e-06
26.2552 0.785398 0.635439 0.00140368 -0.00382778 9.84865e-06
26.2552 1.1781 0.635239 0.00522184 -0.00326533 2.94717e-05
26.2552 1.5708 0.635069 0.00712501 -7.72013e-08 8.27001e-06
26.2552 1.9635 0.635239 0.00522195 0.00326524 -1.71965e-05
26.2552 2.35619 0.635439 0.00140373 0.00382777 -4.78657e-06
26.2552 2.74889 0.63594 -0.00117234 0.00209344 3.99029e-06
26.2552 3.14159 0.636261 -0.00183616 4.82521e-16 1.31594e-18
29.6222 0 0.590439 -0.00181953 0 0
29.6222 0.392699 0.590518 -0.0011615 -0.00207305 -2.38462e-06
29.6222 0.785398 0.590028 0.00139035 -0.00378739 8.64619e-06
29.6222 1.1781 0.589763 0.00516446 -0.00322833 2.57709e-05
29.6222 1.5708 0.58961 0.00704461 -6.07374e-08 7.34196e-06
29.6222 1.9635 0.589763 0.00516454 0.00322827 -1.48723e-05
29.6222 2.35619 0.590028 0.00139039 0.00378738 -4.13788e-06
29.6222 2.74889 0.590518 -0.00116149 0.00207305 3.4985e-06
29.6222 3.14159 0.590439 -0.00181953 4.77169e-16 1.14878e-18
33.4209 0 0.545973 -0.00178021 0 0
33.4209 0.392699 0.546017 -0.00113638 -0.00202677 -2.05137e-06
33.4209 0.785398 0.545511 0.00135914 -0.00370014 7.50254e-06
33.4209 1.1781 0.545477 0.00504451 -0.00314981 2.23129e-05
33.4209 1.5708 0.545331 0.00687626 -4.74315e-08 6.46072e-06
33.4209 1.9635 0.545477 0.00504458 0.00314976 -1.27144e-05
33.4209 2.35619 0.545511 0.00135917 0.00370013 -3.53668e-06
33.4209 2.74889 0.546017 -0.00113638 0.00202677 3.03402e-06
33.4209 3.14159 0.545973 -0.00178021 4.67117e-16 9.96528e-19
37.7069 0 0.502573 -0.00172214 0 0
37.7069 0.392699 0.502827 -0.00109952 -0.00195956 -1.74749e-06
37.7069 0.785398 0.502706 0.00131597 -0.00357548 6.46676e-06
37.7069 1.1781 0.502522 0.00487275 -0.00304013 1.91283e-05
37.7069 1.5708 0.50255 0.00663816 -3.67479e-08 5.63635e-06
37.7069 1.9635 0.502522 0.0048728 0.00304009 -1.07657e-05
37.7069 2.35619 0.502706 0.001316 0.00357548 -2.99588e-06
37.7069 2.74889 0.502827 -0.00109952 0.00195956 2.60463e-06
37.7069 3.14159 0.502573 -0.00172214 4.51232e-16 8.52813e-19
42.5424 0 0.460717 -0.00164919 0 0
42.5424 0.392699 0.460742 -0.00105208 -0.00187646 -1.47413e-06
42.5424 0.785398 0.461498 0.00126113 -0.00342163 5.51827e-06
42.5424 1.1781 0.461413 0.00466256 -0.00290505 1.62641e-05
42.5424 1.5708 0.461365 0.00634704 -2.81768e-08 4.86675e-06
42.5424 1.9635 0.461413 0.0046626 0.00290502 -9.02997e-06
42.5424 2.35619 0.461498 0.00126115 0.00342162 -2.51364e-06
42.5424 2.74889 0.460742 -0.00105208 0.00187646 2.20839e-06
42.5424 3.14159 0.460717 -0.00164919 4.32517e-16 7.2426e-19
47.9981 0 0.419997 -0.0015635 0 0
47.9981 0.392699 0.420441 -0.000996185 -0.00178203 -1.23163e-06
47.9981 0.785398 0.421576 0.00120107 -0.00324646 4.66521e-06
47.9981 1.1781 0.42241 0.00442359 -0.00275215 1.37273e-05
47.9981 1.5708 0.422373 0.00601664 -2.14969e-08 4.17945e-06
47.9981 1.9635 0.42241 0.00442362 0.00275213 -7.50898e-06
47.9981 2.35619 0.421576 0.00120109 0.00324646 -2.10525e-06
47.9981 2.74889 0.420441 -0.000996184 0.00178204 1.85408e-06
47.9981 3.14159 0.419997 -0.0015635 4.10291e-16 6.06738e-19
54.1534 0 0.380865 -0.00146827 0 0
54.1534 0.392699 0.381527 -0.000932691 -0.00167899 -1.01752e-06
54.1534 0.785398 0.383467 0.00113866 -0.00305582 3.91867e-06
54.1534 1.1781 0.385337 0.00416559 -0.00258746 1.14933e-05
54.1534 1.5708 0.385516 0.00566048 -1.62781e-08 3.56302e-06
54.1534 1.9635 0.385337 0.00416561 0.00258744 -6.20095e-06
54.1534 2.35619 0.383467 0.00113867 0.00305581 -1.76011e-06
54.1534 2.74889 0.381527 -0.000932689 0.00167899 1.53623e-06
54.1534 3.14159 0.380865 -0.00146827 3.86641e-16 5.03533e-19
61.0981 0 0.341411 -0.00136034 0 0
61.0981 0.392699 0.343017 -0.000860838 -0.00156716 -8.26915e-07
61.0981 0.785398 0.346485 0.00107765 -0.00285256 3.26332e-06
61.0981 1.1781 0.349805 0.00390073 -0.00241165 9.52979e-06
61.0981 1.5708 0.350904 0.00528963 -1.22412e-08 3.01731e-06
61.0981 1.9635 0.349805 0.00390074 0.00241164 -5.08852e-06
61.0981 2.35619 0.346485 0.00107766 0.00285256 -1.47742e-06
61.0981 2.74889 0.343017 -0.000860837 0.00156716 1.24565e-06
61.0981 3.14159 0.341411 -0.00136034 3.60457e-16 4.08343e-19
68.9334 0 0.300882 -0.00123762 0 0
68.9334 0.392699 0.303397 -0.000776929 -0.00144398 -6.52223e-07
68.9334 0.785398 0.30887 0.00102101 -0.0026314 2.67035e-06
68.9334 1.1781 0.315434 0.00363289 -0.00222418 7.79563e-06
68.9334 1.5708 0.318657 0.00491347 -9.15697e-09 2.5422e-06
68.9334 1.9635 0.315434 0.00363291 0.00222417 -4.14197e-06
68.9334 2.35619 0.30887 0.00102101 0.0026314 -1.25202e-06
68.9334 2.74889 0.303397 -0.000776928 0.00144398 9.7329e-07
68.9334 3.14159 0.300882 -0.00123762 3.31487e-16 3.20613e-19
77.7735 0 0.255026 -0.00108505 0 0
77.7735 0.392699 0.258972 -0.000670228 -0.00129749 -4.79947e-07
77.7735 0.785398 0.267941 0.000970307 -0.00237428 2.11228e-06
77.7735 1.1781 0.27975 0.00336056 -0.00200641 6.1652e-06
77.7735 1.5708 0.286417 0.00453273 -6.53512e-09 2.0552e-06
77.7735 1.9635 0.27975 0.00336057 0.0020064 -3.3059e-06
77.7735 2.35619 0.267941 0.00097031 0.00237428 -1.06439e-06
77.7735 2.74889 0.258972 -0.000670228 0.00129749 7.02965e-07
77.7735 3.14159 0.255026 -0.00108505 2.96305e-16 2.33804e-19
87.7472 0 0.198681 -0.000878536 0 0
87.7472 0.392699 0.201946 -0.000518453 -0.00108946 -2.93277e-07
87.7472 0.785398 0.213748 0.000913661 -0.00200104 1.48748e-06
87.7472 1.1781 0.232953 0.00302461 -0.00166892 4.26621e-06
87.7472 1.5708 0.248298 0.00408403 -3.92777e-09 1.44476e-06
87.7472 1.9635 0.232953 0.00302461 0.00166892 -2.37936e-06
87.7472 2.35619 0.213748 0.000913663 0.00200104 -8.55771e-07
87.7472 2.74889 0.201946 -0.000518453 0.00108946 4.17201e-07
87.7472 3.14159 0.198681 -0.000878536 2.48211e-16 1.45448e-19
99 0 0.127194 -0.000588062 0 0
99 0.392699 0.127479 -0.000310928 -0.000763573 -1.13647e-07
99 0.785398 0.128252 0.000744978 -0.00130009 6.58292e-07
99 1.1781 0.134963 0.00209795 -0.000879645 1.31688e-06
99 1.5708 0.110745 0.00207512 -1.30566e-10 1.17448e-07
99 1.9635 0.134963 0.00209795 0.000879645 -8.1312e-07
99 2.35619 0.128252 0.000744978 0.00130009 -4.52648e-07
99 2.74889 0.127479 -0.000310928 0.000763573 1.57054e-07
99 3.14159 0.127194 -0.000588062 1.75427e-16 6.19097e-20
